,origin,destination,distance,duration
302,Abbott House Changing Lives,St. John the Baptist Primary School,57928,2746
303,Abbott House Changing Lives,St.Peters Court,25023,1523
304,Abbott House Changing Lives,Sunderland Area Parent Support,25816,1516
305,Abbott House Changing Lives,Sunderland North Family Zone,26061,1911
306,Abbott House Changing Lives,Sunderland Ymca,26130,1876
307,Abbott House Changing Lives,Sunshine Day Nursery at Seascape Children's Centre,40024,2166
308,Abbott House Changing Lives,The Albert,40266,2057
309,Abbott House Changing Lives,The Ashley Foundation,25824,1825
310,Abbott House Changing Lives,The Laurels Childcare Ltd,29975,1607
311,Abbott House Changing Lives,The Oasis Cafe,1367,218
312,Abbott House Changing Lives,The Opportunity Cafe,6942,731
313,Abbott House Changing Lives,The Rifty Youth Project,55148,2799
314,Abbott House Changing Lives,Tyneside Vineyard Extraordinary Project,4537,751
315,Abbott House Changing Lives,Umbrella Community Centre,22829,1875
316,Abbott House Changing Lives,Vinnie's Cafe,3041,594
317,Abbott House Changing Lives,Virginia House Changing Lives,1715,245
318,Abbott House Changing Lives,Wallsend People Centre,9903,1066
319,Abbott House Changing Lives,Washingwell Primary School,7955,739
320,Abbott House Changing Lives,West View Primary School,52638,2558
321,Abbott House Changing Lives,West View Project,53044,2576
322,Abbott House Changing Lives,Wharton Trust,54013,2695
323,Abbott House Changing Lives,Whitehead Street - Changing Lives,15870,1601
324,Academy 360,Abbey Hill Academy,44873,2175
325,Academy 360,Abbey Lodge,6906,806
326,Academy 360,Abbott House Changing Lives,23760,1474
327,Academy 360,Age UK Sunderland,4830,663
328,Academy 360,All About You,5184,646
329,Academy 360,Approach Development,66198,2725
330,Academy 360,Basement Project,23670,1737
331,Academy 360,Belle Vue 60+ Club,40443,1930
332,Academy 360,Belle Vue Centre Cafe,40443,1930
333,Academy 360,Belle Vue Play Scheme,40443,1930
334,Academy 360,Belle Vue Youth Project,40443,1930
335,Academy 360,Benfield School,22347,1491
336,Academy 360,Beyond Limits,51350,3140
337,Academy 360,Bibby House - Changing Lives,12687,777
338,Academy 360,Bilton Hall Community Trust,11942,812
339,Academy 360,Blyth Star Enterprises,36242,2242
340,Academy 360,Brougham Primary School,34897,1685
341,Academy 360,Byker Community Association,21749,1587
342,Academy 360,Cafe on the Shire - NTDF,21466,1531
343,Academy 360,Changing Lives,16314,991
344,Academy 360,Cheesy Waffles Project,16198,1105
345,Academy 360,Chester West & Central Community Project @ Bullion Hall,13638,1134
346,Academy 360,Choysez,37344,2166
347,Academy 360,Corbridge Middle School,49862,2319
348,Academy 360,Cornerstones Cafe,11950,1040
349,Academy 360,County Durham Tees Valley Rescue Mission,40334,2094
350,Academy 360,Cumberland House,23091,1386
351,Academy 360,Delta North Consett (formerly YMCA),33225,2483
352,Academy 360,Dementia Care,31447,1928
353,Academy 360,Dynamix Extreme Cic,16695,1047
354,Academy 360,East Durham Community Initiatives,13226,942
355,Academy 360,East Durham Partnership,20933,1046
356,Academy 360,Eastlea Community,11773,772
357,Academy 360,Elliott House /Westbridge,24672,1632
358,Academy 360,Emmaus North East,14336,1046
359,Academy 360,Eslington House Changing Lives,20776,1202
360,Academy 360,Excelsior Academy,26330,1581
361,Academy 360,Family Gateway,16576,1142
362,Academy 360,Felling Community Association,14677,968
363,Academy 360,Forage Community Project,3309,479
364,Academy 360,Francis House Changing Lives,23206,1405
365,Academy 360,Gateshead Young Peoples Mental Health Service,17962,1310
366,Academy 360,Great Lumley Community Centre,11357,1014
367,Academy 360,Great North Road Changing Lives,16892,1299
368,Academy 360,Green Gates Primary,65498,2747
369,Academy 360,Harrowgate Hill Primary,44315,2287
370,Academy 360,Haswell Mencap Lisa Dixon Centre,17337,1307
371,Academy 360,Health Works Newcastle,28694,1610
372,Academy 360,Hub of Wishes,39992,2078
373,Academy 360,Investing in People and Culture,17907,1283
374,Academy 360,"Jet (Wicker Chair) North,  Westerhope",28770,1586
375,Academy 360,Junction 7,39992,2078
376,Academy 360,Junior Neighbourhood Watch,39992,2078
377,Academy 360,Kibblesworth Village Millenium Centre,17233,1178
378,Academy 360,Kings Cafe,45358,2361
379,Academy 360,Labyrinth Holistic Cafe,47509,2257
380,Academy 360,Little Sisters Of The Poor - Newcastle,24247,1509
381,Academy 360,Lobley Hill Primary,19069,1133
382,Academy 360,Looked After Through Care Darlington Borough Council,47085,2702
383,Academy 360,Mickley First School,38693,2217
384,Academy 360,Miss Tina's Coffee Shop,5154,619
385,Academy 360,Mount Pleasant Primary School,47300,2383
386,Academy 360,Moving On Durham,20660,1389
387,Academy 360,Murton Salvation Army,15277,853
388,Academy 360,New Walk Property Management Middlesbrough,46769,2165
389,Academy 360,New Walk Property Management Stockton,47522,2237
390,Academy 360,Newport Primary,46086,2100
391,Academy 360,PACT House,20069,1576
392,Academy 360,Park End Primary,52669,2367
393,Academy 360,Pelton Community Centre,14039,1186
394,Academy 360,People's Pantry,32210,1961
395,Academy 360,Pickle Palace,31596,1970
396,Academy 360,Pottery Bank Centre,21869,1573
397,Academy 360,Praxis,25021,1632
398,Academy 360,Prudhoe Castle First School,37453,2204
399,Academy 360,Reach Out Recovery,37859,2048
400,Academy 360,Ron Eager House Changing Lives,18641,1290
401,Academy 360,Roseberry Primary,39513,1836
402,Academy 360,Rosebrook,43435,2012
403,Academy 360,Sanctuary Supported Housing,45590,2033
